City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Rikitea,PF,72.28,clear sky,-23.1203,-134.9692,People ThankYou
7,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
12,Ust-Nera,RU,73.27,overcast clouds,64.5667,143.2,Hotel Ust-Nera
24,Vaitape,PF,78.75,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
25,Butaritari,KI,83.28,clear sky,3.0707,172.7902,Isles Sunset Lodge
26,Fort Nelson,CA,72.99,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
27,Naze,JP,81.52,overcast clouds,28.3667,129.4833,オーベルジュ・アガルイ
43,Hasaki,JP,75.6,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
44,Faanui,PF,78.76,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
45,Hilo,US,83.93,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
46,Kapaa,US,84.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
49,Salalah,OM,77.09,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
54,Cayenne,GF,79.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
55,Guerrero Negro,MX,82.71,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
58,Fomboni,KM,76.55,clear sky,-12.28,43.7425,Auberge les abou
59,Dingle,PH,80.8,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
61,Hithadhoo,MV,81.07,overcast clouds,-0.6,73.0833,Scoop Guest House
62,Avarua,CK,75.25,haze,-21.2078,-159.775,Paradise Inn
65,Bonthe,SL,75.96,moderate rain,7.5264,-12.505,Bonthe Holiday Village
68,Turayf,SA,80.85,clear sky,31.6725,38.6637,Turaif
69,Lompoc,US,78.21,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
81,Toccoa,US,78.31,light rain,34.5773,-83.3324,Quality Inn
82,Balaguer,ES,87.26,light rain,41.7912,0.8109,Hotel Balaguer
83,Jamestown,US,78.39,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
84,Iracoubo,GF,77.16,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
86,Impfondo,CG,73.76,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
87,Cockburn Town,TC,82.89,clear sky,21.4612,-71.1419,Osprey Beach Hotel
89,Honiara,SB,79.18,moderate rain,-9.4333,159.95,Heritage Park Hotel
90,Tura,IN,74.89,light rain,25.5198,90.2201,Hotel RIKMAN Continental
91,Sorong,ID,80.17,broken clouds,-0.8833,131.25,waigo splash hotel
92,Davila,PH,78.78,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
94,Meulaboh,ID,76.89,moderate rain,4.1363,96.1285,Kost Pria
98,Biak,ID,79.27,broken clouds,-0.9131,122.8766,Penginapan Kim
102,Tautira,PF,80.62,light rain,-17.7333,-149.15,Pension Oaoa
106,Komsomolskiy,UZ,76.42,clear sky,40.4272,71.7189,Ikathouse
110,Toyooka,JP,75.31,moderate rain,35.5333,134.8333,O Hotel Toyooka
111,Shimoda,JP,77.36,light rain,34.6667,138.95,Shimoda Tokyu Hotel
119,Atuona,PF,77.74,scattered clouds,-9.8,-139.0333,Villa Enata
123,Victoria,HK,85.96,overcast clouds,22.2855,114.1577,Mini Hotel Central
125,Touros,BR,74.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
127,Labrea,BR,86.36,broken clouds,-7.2586,-64.7981,Hotel Novo Horizonte
128,Kavieng,PG,84.52,light rain,-2.5744,150.7967,Nusa Island Retreat
130,Fethiye,TR,85.87,clear sky,36.6217,29.1164,Club & Hotel Letoonia
