City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
Lebu,-37.6167,-73.65,47.84,87,0,10.36,CL,clear sky
Deputatskiy,69.3,139.9,59.97,76,100,1.77,RU,overcast clouds
Mataura,-46.1927,168.8643,57.47,79,100,6.13,NZ,overcast clouds
Kruisfontein,-34.0033,24.7314,47.88,68,33,17.69,ZA,scattered clouds
Caravelas,-17.7125,-39.2481,69.57,89,7,5.41,BR,clear sky
Rikitea,-23.1203,-134.9692,72.28,70,10,12.08,PF,clear sky
Busselton,-33.65,115.3333,48.04,78,41,4.29,AU,scattered clouds
San Cristobal,7.7669,-72.225,78.98,98,89,3.6,VE,overcast clouds
East London,-33.0153,27.9116,60.46,71,8,18.61,ZA,clear sky
Albany,42.6001,-73.9662,84.92,78,44,5.3,US,scattered clouds
Mkushi,-13.6202,29.3939,51.46,53,0,4.25,ZM,clear sky
Talara,-4.5772,-81.2719,68.76,77,75,12.66,PE,broken clouds
Ust-Nera,64.5667,143.2,73.27,37,100,6.89,RU,overcast clouds
Vagay,57.9375,69.0217,48.22,85,0,7.52,RU,clear sky
Punta Arenas,-53.15,-70.9167,46.51,81,75,9.22,CL,broken clouds
Puerto Ayora,-0.7393,-90.3518,70.56,84,40,5.99,EC,scattered clouds
Leh,34.1667,77.5833,59.38,54,45,4.18,IN,scattered clouds
Hualmay,-11.0964,-77.6139,62.74,81,56,10.33,PE,broken clouds
Halifax,44.6453,-63.5724,71.49,93,87,3.0,CA,overcast clouds
Kisangani,0.5167,25.2,70.32,94,81,0.78,CD,broken clouds
Ushuaia,-54.8,-68.3,40.66,93,40,18.41,AR,light intensity drizzle
San Patricio,28.017,-97.5169,93.29,59,4,15.21,US,clear sky
Port Elizabeth,-33.918,25.5701,55.69,82,0,9.22,ZA,clear sky
Verkhnevilyuysk,63.4453,120.3167,66.69,65,61,1.7,RU,broken clouds
Vaitape,-16.5167,-151.75,78.75,72,18,13.42,PF,few clouds
Butaritari,3.0707,172.7902,83.28,66,5,11.63,KI,clear sky
Fort Nelson,58.8053,-122.7002,72.99,31,75,14.97,CA,broken clouds
Naze,28.3667,129.4833,81.52,87,100,18.43,JP,overcast clouds
Saskylakh,71.9167,114.0833,50.67,74,100,10.67,RU,overcast clouds
Hobart,-42.8794,147.3294,51.66,56,20,3.0,AU,few clouds
Yaan,7.3833,8.5667,71.53,95,86,7.29,NG,overcast clouds
Neuquen,-38.9516,-68.0591,49.89,50,0,6.91,AR,clear sky
Kirovsk,48.6375,38.6428,69.58,61,81,4.03,UA,broken clouds
Umm Kaddadah,13.6017,26.6876,81.95,60,100,7.58,SD,overcast clouds
Lanzhou,36.0564,103.7922,67.28,43,91,2.04,CN,overcast clouds
Hermanus,-34.4187,19.2345,49.89,86,80,20.07,ZA,moderate rain
Yar-Sale,66.8333,70.8333,52.97,70,65,8.03,RU,broken clouds
Iqaluit,63.7506,-68.5145,42.53,81,75,18.41,CA,broken clouds
Yerbogachen,61.2767,108.0108,66.07,54,0,4.76,RU,clear sky
Longyearbyen,78.2186,15.6401,44.44,100,90,3.44,SJ,overcast clouds
Bluff,-46.6,168.3333,57.79,80,100,18.34,NZ,overcast clouds
Ahipara,-35.1667,173.1667,57.97,61,16,7.05,NZ,few clouds
Yellowknife,62.456,-114.3525,61.32,44,75,13.8,CA,broken clouds
Hasaki,35.7333,140.8333,75.6,86,100,7.99,JP,overcast clouds
Faanui,-16.4833,-151.75,78.76,72,16,13.42,PF,few clouds
Hilo,19.7297,-155.09,83.93,75,20,9.22,US,light rain
Kapaa,22.0752,-159.319,84.52,72,75,3.0,US,light rain
Ilulissat,69.2167,-51.1,48.22,71,20,6.91,GL,few clouds
Havoysund,70.9963,24.6622,52.68,98,100,19.26,NO,overcast clouds
Salalah,17.0151,54.0924,77.09,88,75,4.61,OM,broken clouds
Beringovskiy,63.05,179.3167,45.34,83,82,9.26,RU,broken clouds
Mar Del Plata,-38.0023,-57.5575,46.42,71,75,5.75,AR,broken clouds
Kaitangata,-46.2817,169.8464,52.88,73,100,7.25,NZ,moderate rain
Vaini,-21.2,-175.2,66.36,94,90,6.91,TO,moderate rain
Cayenne,4.9333,-52.3333,79.09,85,0,0.0,GF,clear sky
Guerrero Negro,27.9769,-114.0611,82.71,53,19,15.41,MX,few clouds
Srednekolymsk,67.45,153.6833,68.27,31,85,2.3,RU,overcast clouds
Dikson,73.5069,80.5464,42.57,87,100,11.63,RU,overcast clouds
Fomboni,-12.28,43.7425,76.55,69,0,9.71,KM,clear sky
Dingle,10.9995,122.6711,80.8,79,100,4.52,PH,overcast clouds
Arcata,40.8665,-124.0828,63.93,71,1,4.0,US,clear sky
Hithadhoo,-0.6,73.0833,81.07,73,100,7.52,MV,overcast clouds
Avarua,-21.2078,-159.775,75.25,88,90,8.05,CK,haze
Mandalgovi,45.7625,106.2708,67.78,32,79,8.7,MN,broken clouds
Broken Hill,-31.95,141.4333,47.91,76,0,8.05,AU,clear sky
Bonthe,7.5264,-12.505,75.96,91,100,9.15,SL,moderate rain
Nikolskoye,59.7035,30.7861,59.02,68,97,4.16,RU,overcast clouds
Hovd,48.0056,91.6419,63.55,45,31,3.15,MN,scattered clouds
Turayf,31.6725,38.6637,80.85,47,0,13.8,SA,clear sky
Lompoc,34.6391,-120.4579,78.21,72,1,11.5,US,clear sky
Namibe,-15.1961,12.1522,62.33,87,31,11.07,AO,scattered clouds
Qaanaaq,77.484,-69.3632,41.38,90,100,1.48,GL,overcast clouds
Tigil,57.8,158.6667,65.19,56,17,4.18,RU,few clouds
Tiksi,71.6872,128.8694,59.61,65,67,10.02,RU,broken clouds
Plettenberg Bay,-34.0527,23.3716,54.09,75,54,14.81,ZA,broken clouds
Arraial Do Cabo,-22.9661,-42.0278,69.76,83,20,9.22,BR,few clouds
New Norfolk,-42.7826,147.0587,51.3,57,29,1.99,AU,light rain
Mpika,-11.8343,31.4529,51.84,46,0,4.83,ZM,clear sky
Bambous Virieux,-20.3428,57.7575,71.22,88,40,9.22,MU,light rain
Baft,29.234,56.6057,70.77,45,0,4.43,IR,clear sky
Sabla,12.7525,4.7077,78.03,80,99,1.81,NG,light rain
Toccoa,34.5773,-83.3324,78.31,91,1,0.0,US,light rain
