City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kiruna,SE,2021-04-11 17:44:14,67.8557,20.2251,30.2,69,0,11.5
1,Bambous Virieux,MU,2021-04-11 17:44:00,-20.3428,57.7575,78.8,89,40,5.75
2,Provideniya,RU,2021-04-11 17:44:14,64.3833,-173.3,9.09,85,100,23.15
3,Rikitea,PF,2021-04-11 17:40:53,-23.1203,-134.9692,78.24,75,8,11.14
4,Tuktoyaktuk,CA,2021-04-11 17:44:15,69.4541,-133.0374,-18.4,69,1,3.44
5,Cape Town,ZA,2021-04-11 17:43:56,-33.9258,18.4232,68.0,82,20,16.11
6,Ahuimanu,US,2021-04-11 17:44:15,21.4447,-157.8378,69.8,78,75,8.05
7,Bangolo,CI,2021-04-11 17:44:15,7.0069,-7.475,89.01,48,90,4.94
8,Castro,BR,2021-04-11 17:44:08,-24.7911,-50.0119,79.92,39,2,7.2
9,Port Alfred,ZA,2021-04-11 17:44:16,-33.5906,26.891,67.28,90,98,2.64
10,Zaltan,LY,2021-04-11 17:44:16,32.947,11.8665,69.69,56,57,24.85
11,Mar Del Plata,AR,2021-04-11 17:44:16,-38.0023,-57.5575,66.2,63,40,16.11
12,Cayenne,GF,2021-04-11 17:44:16,4.9333,-52.3333,87.8,66,75,11.5
13,Tiksi,RU,2021-04-11 17:42:53,71.6872,128.8694,-0.63,76,96,6.96
14,New Norfolk,AU,2021-04-11 17:44:17,-42.7826,147.0587,46.0,76,84,1.99
15,Chuy,UY,2021-04-11 17:44:17,-33.6971,-53.4616,64.42,81,95,23.73
16,Hithadhoo,MV,2021-04-11 17:44:17,-0.6,73.0833,83.68,67,69,10.87
17,Belaya Gora,RU,2021-04-11 17:44:18,68.5333,146.4167,-28.17,100,51,3.83
18,Korla,CN,2021-04-11 17:44:18,41.7597,86.1469,57.36,42,3,15.79
19,Clyde River,CA,2021-04-11 17:40:55,70.4692,-68.5914,30.2,80,20,26.46
20,Hobart,AU,2021-04-11 17:43:14,-42.8794,147.3294,48.2,71,75,13.8
21,Kaitangata,NZ,2021-04-11 17:41:43,-46.2817,169.8464,52.88,97,79,4.12
22,Evensk,RU,2021-04-11 17:44:18,61.95,159.2333,-4.81,78,67,11.56
23,Mataura,NZ,2021-04-11 17:43:16,-46.1927,168.8643,46.99,97,89,3.0
24,Jumla,NP,2021-04-11 17:44:19,29.2747,82.1838,45.09,26,17,5.26
25,Palmetto,US,2021-04-11 17:44:19,27.5214,-82.5723,66.2,94,90,10.36
26,Valday,RU,2021-04-11 17:44:19,57.9747,33.2525,43.65,89,100,4.54
27,Nikolskoye,RU,2021-04-11 17:42:29,59.7035,30.7861,48.99,34,0,2.24
28,Vaini,TO,2021-04-11 17:44:19,-21.2,-175.2,66.2,94,20,3.44
29,Aklavik,CA,2021-04-11 17:39:23,68.2191,-135.0107,-11.2,64,1,3.44
30,Ketchikan,US,2021-04-11 17:43:38,55.3422,-131.6461,35.6,87,40,3.44
